Date, Open, High, Low, Close
4/13/2022,1119.32,1119.32,1119.32,1119.32
4/12/2022,1110.4,1110.4,1110.4,1110.4
4/11/2022,1111.76,1111.76,1111.76,1111.76
4/8/2022,1127.93,1127.93,1127.93,1127.93
4/7/2022,1126.06,1126.06,1126.06,1126.06
4/6/2022,1142.5,1142.5,1142.5,1142.5
4/5/2022,1156.75,1156.75,1156.75,1156.75
4/4/2022,1161.65,1161.65,1161.65,1161.65
4/1/2022,1145.85,1145.85,1145.85,1145.85
3/31/2022,1141.79,1141.79,1141.79,1141.79
3/30/2022,1149.3,1149.3,1149.3,1149.3
3/29/2022,1136.45,1136.45,1136.45,1136.45
3/28/2022,1124.82,1124.82,1124.82,1124.82
3/25/2022,1125.01,1125.01,1125.01,1125.01
3/24/2022,1136.95,1136.95,1136.95,1136.95
3/23/2022,1140.72,1140.72,1140.72,1140.72
3/22/2022,1131.41,1131.41,1131.41,1131.41
3/21/2022,1115.26,1115.26,1115.26,1115.26
3/18/2022,1149.3,1149.3,1149.3,1149.3
3/17/2022,1120.93,1120.93,1120.93,1120.93
3/16/2022,1081,1081,1081,1081
3/15/2022,1026.77,1026.77,1026.77,1026.77
3/14/2022,1055.01,1055.01,1055.01,1055.01
3/11/2022,1085.66,1085.66,1085.66,1085.66
3/10/2022,1102.74,1102.74,1102.74,1102.74
3/9/2022,1090.67,1090.67,1090.67,1090.67
3/8/2022,1096.05,1096.05,1096.05,1096.05
3/7/2022,1107.3,1107.3,1107.3,1107.3
3/4/2022,1144.91,1144.91,1144.91,1144.91
3/3/2022,1172.56,1172.56,1172.56,1172.56
3/2/2022,1168.41,1168.41,1168.41,1168.41
3/1/2022,1176.43,1176.43,1176.43,1176.43
2/28/2022,1171.31,1171.31,1171.31,1171.31
2/25/2022,1171.99,1171.99,1171.99,1171.99
2/24/2022,1154.86,1154.86,1154.86,1154.86
2/23/2022,1206.86,1206.86,1206.86,1206.86
2/22/2022,1206.63,1206.63,1206.63,1206.63
2/21/2022,1219.46,1219.46,1219.46,1219.46
2/18/2022,1231.77,1231.77,1231.77,1231.77
2/17/2022,1242.92,1242.92,1242.92,1242.92
2/16/2022,1244.19,1244.19,1244.19,1244.19
2/15/2022,1229.05,1229.05,1229.05,1229.05
2/14/2022,1220.42,1220.42,1220.42,1220.42
2/11/2022,1240.51,1240.51,1240.51,1240.51
2/10/2022,1251.09,1251.09,1251.09,1251.09
2/9/2022,1239.79,1239.79,1239.79,1239.79
2/8/2022,1219.8,1219.8,1219.8,1219.8
2/7/2022,1219.33,1219.33,1219.33,1219.33
2/4/2022,1221.1,1221.1,1221.1,1221.1
2/3/2022,1210.27,1210.27,1210.27,1210.27
2/2/2022,1213.23,1213.23,1213.23,1213.23
2/1/2022,1214.01,1214.01,1214.01,1214.01
1/31/2022,1208.23,1208.23,1208.23,1208.23
1/28/2022,1191.14,1191.14,1191.14,1191.14
1/27/2022,1192.06,1192.06,1192.06,1192.06
1/26/2022,1211.45,1211.45,1211.45,1211.45
1/25/2022,1210.45,1210.45,1210.45,1210.45
1/24/2022,1222.16,1222.16,1222.16,1222.16
1/21/2022,1244.31,1244.31,1244.31,1244.31
1/20/2022,1255.74,1255.74,1255.74,1255.74
1/19/2022,1239.83,1239.83,1239.83,1239.83
1/18/2022,1241.58,1241.58,1241.58,1241.58
1/17/2022,1254.4,1254.4,1254.4,1254.4
1/14/2022,1257.46,1257.46,1257.46,1257.46
1/13/2022,1263.3,1263.3,1263.3,1263.3
1/12/2022,1267.34,1267.34,1267.34,1267.34
1/11/2022,1243.04,1243.04,1243.04,1243.04
1/10/2022,1232.27,1232.27,1232.27,1232.27
1/7/2022,1226.1,1226.1,1226.1,1226.1
1/6/2022,1217.07,1217.07,1217.07,1217.07
1/5/2022,1222.74,1222.74,1222.74,1222.74
1/4/2022,1234.95,1234.95,1234.95,1234.95
1/3/2022,1233.5,1233.5,1233.5,1233.5
12/31/2021,1232.01,1232.01,1232.01,1232.01
12/30/2021,1222.75,1222.75,1222.75,1222.75
12/29/2021,1217.93,1217.93,1217.93,1217.93
12/28/2021,1227.12,1227.12,1227.12,1227.12
12/27/2021,1221.76,1221.76,1221.76,1221.76
12/24/2021,1220.55,1220.55,1220.55,1220.55
12/23/2021,1219.59,1219.59,1219.59,1219.59
12/22/2021,1209.88,1209.88,1209.88,1209.88
12/21/2021,1203.66,1203.66,1203.66,1203.66
12/20/2021,1190.08,1190.08,1190.08,1190.08
12/17/2021,1216.3,1216.3,1216.3,1216.3
12/16/2021,1223.89,1223.89,1223.89,1223.89
12/15/2021,1214.5,1214.5,1214.5,1214.5
12/14/2021,1222.1,1222.1,1222.1,1222.1
12/13/2021,1230.61,1230.61,1230.61,1230.61
12/10/2021,1238.54,1238.54,1238.54,1238.54
12/9/2021,1247.71,1247.71,1247.71,1247.71
12/8/2021,1241.01,1241.01,1241.01,1241.01
12/7/2021,1235.56,1235.56,1235.56,1235.56
12/6/2021,1213.96,1213.96,1213.96,1213.96
12/3/2021,1224.64,1224.64,1224.64,1224.64
12/2/2021,1236.19,1236.19,1236.19,1236.19
12/1/2021,1226.81,1226.81,1226.81,1226.81
11/30/2021,1212.42,1212.42,1212.42,1212.42
11/29/2021,1218.99,1218.99,1218.99,1218.99
11/26/2021,1223.13,1223.13,1223.13,1223.13
11/25/2021,1254.69,1254.69,1254.69,1254.69
11/24/2021,1253.15,1253.15,1253.15,1253.15
11/23/2021,1255.39,1255.39,1255.39,1255.39
11/22/2021,1261.56,1261.56,1261.56,1261.56
11/19/2021,1269.22,1269.22,1269.22,1269.22
11/18/2021,1273.87,1273.87,1273.87,1273.87
11/17/2021,1286.87,1286.87,1286.87,1286.87
11/16/2021,1290.55,1290.55,1290.55,1290.55
11/15/2021,1286.82,1286.82,1286.82,1286.82
11/12/2021,1285.48,1285.48,1285.48,1285.48
11/11/2021,1281.4,1281.4,1281.4,1281.4
11/10/2021,1274.39,1274.39,1274.39,1274.39
11/9/2021,1272.95,1272.95,1272.95,1272.95
11/8/2021,1268.82,1268.82,1268.82,1268.82
11/5/2021,1264.07,1264.07,1264.07,1264.07
11/4/2021,1268.45,1268.45,1268.45,1268.45
11/3/2021,1262.46,1262.46,1262.46,1262.46
11/2/2021,1263.96,1263.96,1263.96,1263.96
11/1/2021,1264.54,1264.54,1264.54,1264.54
10/29/2021,1264.75,1264.75,1264.75,1264.75
10/28/2021,1276.07,1276.07,1276.07,1276.07
10/27/2021,1282.89,1282.89,1282.89,1282.89
10/26/2021,1296.06,1296.06,1296.06,1296.06
10/25/2021,1297.26,1297.26,1297.26,1297.26
10/22/2021,1293.14,1293.14,1293.14,1293.14
10/21/2021,1293,1293,1293,1293
10/20/2021,1301.13,1301.13,1301.13,1301.13
10/19/2021,1294.57,1294.57,1294.57,1294.57
10/18/2021,1283.02,1283.02,1283.02,1283.02
10/15/2021,1283.67,1283.67,1283.67,1283.67
10/14/2021,1266.67,1266.67,1266.67,1266.67
10/13/2021,1260.23,1260.23,1260.23,1260.23
10/12/2021,1253.63,1253.63,1253.63,1253.63
10/11/2021,1265.65,1265.65,1265.65,1265.65
10/8/2021,1257.04,1257.04,1257.04,1257.04
10/7/2021,1253.28,1253.28,1253.28,1253.28
10/6/2021,1227.13,1227.13,1227.13,1227.13
10/5/2021,1236.51,1236.51,1236.51,1236.51
10/4/2021,1236.41,1236.41,1236.41,1236.41
10/1/2021,1246.6,1246.6,1246.6,1246.6
9/30/2021,1253.1,1253.1,1253.1,1253.1
9/29/2021,1251.28,1251.28,1251.28,1251.28
9/28/2021,1260.89,1260.89,1260.89,1260.89
9/27/2021,1267.36,1267.36,1267.36,1267.36
9/24/2021,1265.1,1265.1,1265.1,1265.1
9/23/2021,1272.52,1272.52,1272.52,1272.52
9/22/2021,1262.79,1262.79,1262.79,1262.79
9/21/2021,1261.4,1261.4,1261.4,1261.4
9/20/2021,1258.23,1258.23,1258.23,1258.23
9/17/2021,1279.35,1279.35,1279.35,1279.35
9/16/2021,1276.78,1276.78,1276.78,1276.78
9/15/2021,1288.68,1288.68,1288.68,1288.68
9/14/2021,1296.15,1296.15,1296.15,1296.15
9/13/2021,1301.54,1301.54,1301.54,1301.54
9/10/2021,1308.94,1308.94,1308.94,1308.94
9/9/2021,1299.97,1299.97,1299.97,1299.97
9/8/2021,1313.6,1313.6,1313.6,1313.6
9/7/2021,1325.65,1325.65,1325.65,1325.65
9/6/2021,1324.37,1324.37,1324.37,1324.37
9/3/2021,1315.91,1315.91,1315.91,1315.91
9/2/2021,1311.91,1311.91,1311.91,1311.91
9/1/2021,1312.44,1312.44,1312.44,1312.44
8/31/2021,1308.67,1308.67,1308.67,1308.67
8/30/2021,1285.39,1285.39,1285.39,1285.39
8/27/2021,1272.67,1272.67,1272.67,1272.67
8/26/2021,1266.13,1266.13,1266.13,1266.13
8/25/2021,1275.31,1275.31,1275.31,1275.31
8/24/2021,1270.01,1270.01,1270.01,1270.01
8/23/2021,1237.53,1237.53,1237.53,1237.53
8/20/2021,1220.78,1220.78,1220.78,1220.78
8/19/2021,1232.41,1232.41,1232.41,1232.41
8/18/2021,1261.6,1261.6,1261.6,1261.6
8/17/2021,1255.78,1255.78,1255.78,1255.78
8/16/2021,1272.19,1272.19,1272.19,1272.19
8/13/2021,1280.86,1280.86,1280.86,1280.86
8/12/2021,1290.91,1290.91,1290.91,1290.91
8/11/2021,1297.58,1297.58,1297.58,1297.58
8/10/2021,1300.33,1300.33,1300.33,1300.33
8/9/2021,1294.2,1294.2,1294.2,1294.2
8/6/2021,1292.53,1292.53,1292.53,1292.53
8/5/2021,1300.09,1300.09,1300.09,1300.09
8/4/2021,1303.99,1303.99,1303.99,1303.99
8/3/2021,1294.18,1294.18,1294.18,1294.18
8/2/2021,1293.11,1293.11,1293.11,1293.11
7/30/2021,1277.8,1277.8,1277.8,1277.8
7/29/2021,1295.41,1295.41,1295.41,1295.41
7/28/2021,1268.21,1268.21,1268.21,1268.21
7/27/2021,1252.43,1252.43,1252.43,1252.43
7/26/2021,1279.99,1279.99,1279.99,1279.99
7/23/2021,1311.3,1311.3,1311.3,1311.3
7/22/2021,1326.38,1326.38,1326.38,1326.38
7/21/2021,1312.15,1312.15,1312.15,1312.15
7/20/2021,1311.07,1311.07,1311.07,1311.07
7/19/2021,1317.22,1317.22,1317.22,1317.22
7/16/2021,1340.08,1340.08,1340.08,1340.08
7/15/2021,1348.48,1348.48,1348.48,1348.48
7/14/2021,1338.13,1338.13,1338.13,1338.13
7/13/2021,1339.51,1339.51,1339.51,1339.51
7/12/2021,1326.83,1326.83,1326.83,1326.83
7/9/2021,1318.17,1318.17,1318.17,1318.17
7/8/2021,1316.25,1316.25,1316.25,1316.25
7/7/2021,1340.68,1340.68,1340.68,1340.68
7/6/2021,1346.58,1346.58,1346.58,1346.58
7/5/2021,1354.47,1354.47,1354.47,1354.47
7/2/2021,1355.38,1355.38,1355.38,1355.38
7/1/2021,1368.22,1368.22,1368.22,1368.22
6/30/2021,1374.64,1374.64,1374.64,1374.64
6/29/2021,1377.15,1377.15,1377.15,1377.15
6/28/2021,1380.9,1380.9,1380.9,1380.9
6/25/2021,1379.59,1379.59,1379.59,1379.59
6/24/2021,1367.39,1367.39,1367.39,1367.39
6/23/2021,1360.5,1360.5,1360.5,1360.5
6/22/2021,1346.84,1346.84,1346.84,1346.84
6/21/2021,1350.52,1350.52,1350.52,1350.52
6/18/2021,1361.25,1361.25,1361.25,1361.25
6/17/2021,1362.88,1362.88,1362.88,1362.88
6/16/2021,1370,1370,1370,1370
6/15/2021,1378.27,1378.27,1378.27,1378.27
6/14/2021,1383.19,1383.19,1383.19,1383.19
6/11/2021,1381.99,1381.99,1381.99,1381.99
6/10/2021,1378.85,1378.85,1378.85,1378.85
6/9/2021,1372.8,1372.8,1372.8,1372.8
6/8/2021,1377.43,1377.43,1377.43,1377.43
6/7/2021,1380.59,1380.59,1380.59,1380.59
6/4/2021,1381.56,1381.56,1381.56,1381.56
6/3/2021,1383.57,1383.57,1383.57,1383.57
6/2/2021,1388.47,1388.47,1388.47,1388.47
6/1/2021,1390.85,1390.85,1390.85,1390.85
5/31/2021,1376.21,1376.21,1376.21,1376.21
5/28/2021,1360.78,1360.78,1360.78,1360.78
5/27/2021,1354.31,1354.31,1354.31,1354.31
5/26/2021,1351.95,1351.95,1351.95,1351.95
5/25/2021,1345.49,1345.49,1345.49,1345.49
5/24/2021,1326.68,1326.68,1326.68,1326.68
5/21/2021,1330.04,1330.04,1330.04,1330.04
5/20/2021,1329.31,1329.31,1329.31,1329.31
5/19/2021,1327.54,1327.54,1327.54,1327.54
5/18/2021,1333.18,1333.18,1333.18,1333.18
5/17/2021,1311.45,1311.45,1311.45,1311.45
5/14/2021,1307.53,1307.53,1307.53,1307.53
5/13/2021,1292.78,1292.78,1292.78,1292.78
5/12/2021,1315.25,1315.25,1315.25,1315.25
5/11/2021,1329.08,1329.08,1329.08,1329.08
5/10/2021,1346.35,1346.35,1346.35,1346.35
5/7/2021,1348.57,1348.57,1348.57,1348.57
5/6/2021,1340.8,1340.8,1340.8,1340.8
5/5/2021,1333.05,1333.05,1333.05,1333.05
5/4/2021,1334.99,1334.99,1334.99,1334.99
5/3/2021,1338.89,1338.89,1338.89,1338.89
4/30/2021,1347.61,1347.61,1347.61,1347.61
4/29/2021,1364.54,1364.54,1364.54,1364.54
4/28/2021,1364.96,1364.96,1364.96,1364.96
4/27/2021,1361.96,1361.96,1361.96,1361.96
4/26/2021,1360.64,1360.64,1360.64,1360.64
4/23/2021,1353.02,1353.02,1353.02,1353.02
4/22/2021,1341.43,1341.43,1341.43,1341.43
4/21/2021,1336.86,1336.86,1336.86,1336.86
4/20/2021,1347.61,1347.61,1347.61,1347.61
4/19/2021,1348.55,1348.55,1348.55,1348.55
4/16/2021,1348.69,1348.69,1348.69,1348.69
4/15/2021,1341.09,1341.09,1341.09,1341.09
4/14/2021,1336.59,1336.59,1336.59,1336.59
4/13/2021,1323.95,1323.95,1323.95,1323.95
4/12/2021,1322.31,1322.31,1322.31,1322.31
4/9/2021,1330.36,1330.36,1330.36,1330.36
4/8/2021,1343.36,1343.36,1343.36,1343.36
4/7/2021,1338.76,1338.76,1338.76,1338.76
4/6/2021,1346.91,1346.91,1346.91,1346.91
4/5/2021,1338.79,1338.79,1338.79,1338.79
4/2/2021,1338.23,1338.23,1338.23,1338.23
4/1/2021,1335.24,1335.24,1335.24,1335.24
3/31/2021,1316.43,1316.43,1316.43,1316.43
3/30/2021,1319.5,1319.5,1319.5,1319.5
3/29/2021,1310.11,1310.11,1310.11,1310.11
