series_id,time,value
WILLLRGCAP,2008-12-31,22644.42
WILLLRGCAP,2009-01-02,23368.76
WILLLRGCAP,2009-01-05,23295.26
WILLLRGCAP,2009-01-06,23487.82
WILLLRGCAP,2009-01-07,22796.72
WILLLRGCAP,2009-01-08,22894.63
WILLLRGCAP,2009-01-09,22412.11
WILLLRGCAP,2009-01-12,21890.86
WILLLRGCAP,2009-01-13,21952.00
WILLLRGCAP,2009-01-14,21213.89
WILLLRGCAP,2009-01-15,21266.60
WILLLRGCAP,2009-01-16,21429.73
WILLLRGCAP,2009-01-20,20293.09
WILLLRGCAP,2009-01-21,21166.74
WILLLRGCAP,2009-01-22,20842.57
WILLLRGCAP,2009-01-23,20957.64
WILLLRGCAP,2009-01-26,21065.77
WILLLRGCAP,2009-01-27,21291.77
WILLLRGCAP,2009-01-28,22011.59
WILLLRGCAP,2009-01-29,21291.13
WILLLRGCAP,2009-01-30,20822.25
WILLLRGCAP,2009-02-02,20818.35
WILLLRGCAP,2009-02-03,21138.26
WILLLRGCAP,2009-02-04,21013.40
WILLLRGCAP,2009-02-05,21352.28
WILLLRGCAP,2009-02-06,21942.27
WILLLRGCAP,2009-02-09,21971.96
WILLLRGCAP,2009-02-10,20926.47
WILLLRGCAP,2009-02-11,21091.85
WILLLRGCAP,2009-02-12,21143.99
WILLLRGCAP,2009-02-13,20944.71
WILLLRGCAP,2009-02-17,19998.94
WILLLRGCAP,2009-02-18,19961.84
WILLLRGCAP,2009-02-19,19735.13
WILLLRGCAP,2009-02-20,19523.15
WILLLRGCAP,2009-02-23,18842.13
WILLLRGCAP,2009-02-24,19604.33
WILLLRGCAP,2009-02-25,19408.81
WILLLRGCAP,2009-02-26,19102.69
WILLLRGCAP,2009-02-27,18692.89
WILLLRGCAP,2009-03-02,17805.33
WILLLRGCAP,2009-03-03,17700.74
WILLLRGCAP,2009-03-04,18132.56
WILLLRGCAP,2009-03-05,17371.88
WILLLRGCAP,2009-03-06,17398.16
WILLLRGCAP,2009-03-09,17227.59
WILLLRGCAP,2009-03-10,18338.05
WILLLRGCAP,2009-03-11,18384.90
WILLLRGCAP,2009-03-12,19132.71
WILLLRGCAP,2009-03-13,19264.50
WILLLRGCAP,2009-03-16,19175.70
WILLLRGCAP,2009-03-17,19783.89
WILLLRGCAP,2009-03-18,20191.55
WILLLRGCAP,2009-03-19,19959.49
WILLLRGCAP,2009-03-20,19565.52
WILLLRGCAP,2009-03-23,20923.29
WILLLRGCAP,2009-03-24,20502.36
WILLLRGCAP,2009-03-25,20690.77
WILLLRGCAP,2009-03-26,21194.34
WILLLRGCAP,2009-03-27,20753.16
WILLLRGCAP,2009-03-30,20045.04
WILLLRGCAP,2009-03-31,20307.63
WILLLRGCAP,2009-04-01,20633.27
WILLLRGCAP,2009-04-02,21228.89
WILLLRGCAP,2009-04-03,21450.20
